"serial_number","film_name","film_intro","film_star","film_eval","film_describe"
"1","肖申克的救赎","1994/美国/犯罪剧情","9.6","1151286人评价","希望让人自由。"
"2","霸王别姬","1993/中国大陆香港/剧情爱情同性","9.6","840607人评价","风华绝代。"
"3","这个杀手不太冷","1994/法国/剧情动作犯罪","9.4","1063161人评价","怪蜀黍和小萝莉不得不说的故事。"
"4","阿甘正传","1994/美国/剧情爱情","9.4","908843人评价","一部美国近现代史。"
"5","美丽人生","1997/意大利/剧情喜剧爱情战争","9.5","530038人评价","最美的谎言。"
"6","泰坦尼克号","1997/美国/剧情爱情灾难","9.3","844481人评价","失去的才是永恒的。 "
"7","千与千寻","2001/日本/剧情动画奇幻","9.3","842438人评价","最好的宫崎骏，最好的久石让。 "
"8","辛德勒的名单","1993/美国/剧情历史战争","9.4","478695人评价","拯救一个人，就是拯救整个世界。"
"9","盗梦空间","2010/美国英国/剧情科幻悬疑冒险","9.3","930867人评价","诺兰给了我们一场无法盗取的梦。"
"10","机器人总动员","2008/美国/爱情科幻动画冒险","9.3","615170人评价","小瓦力，大人生。"
"11","忠犬八公的故事","2009/美国英国/剧情","9.3","595846人评价","永远都不能忘记你所爱的人。"
"12","三傻大闹宝莱坞","2009/印度/剧情喜剧爱情歌舞","9.2","834758人评价","英俊版憨豆，高情商版谢耳朵。"
"13","海上钢琴师","1998/意大利/剧情音乐","9.2","701473人评价","每个人都要走一条自己坚定了的路，就算是粉身碎骨。 "
"14","放牛班的春天","2004/法国瑞士德国/剧情音乐","9.2","569769人评价","天籁一般的童声，是最接近上帝的存在。 "
"15","大话西游之大圣娶亲","1995/香港中国大陆/喜剧爱情奇幻冒险","9.2","626297人评价","一生所爱。"
"16","楚门的世界","1998/美国/剧情科幻","9.2","603163人评价","如果再也不能见到你，祝你早安，午安，晚安。"
"17","教父","1972/美国/剧情犯罪","9.2","422311人评价","千万不要记恨你的对手，这样会让你失去理智。"
"18","龙猫","1988/日本/动画奇幻冒险","9.1","517992人评价","人人心中都有个龙猫，童年就永远不会消失。"
"19","星际穿越","2014/美国英国加拿大冰岛/剧情科幻冒险","9.2","623731人评价","爱是一种力量，让我们超越时空感知它的存在。"
"20","熔炉","2011/韩国/剧情","9.2","348808人评价","我们一路奋战不是为了改变世界，而是为了不让世界改变我们。"
"21","无间道","2002/香港/剧情犯罪悬疑","9.1","510724人评价","香港电影史上永不过时的杰作。"
"22","触不可及","2011/法国/剧情喜剧","9.2","450819人评价","满满温情的高雅喜剧。"
"23","当幸福来敲门","2006/美国/剧情传记家庭","9.0","669545人评价","平民励志片。 "
"24","乱世佳人","1939/美国/剧情历史爱情战争","9.2","323120人评价","Tomorrow is another day."
"25","怦然心动","2010/美国/剧情喜剧爱情","9.0","716435人评价","真正的幸福是来自内心深处。"
"26","疯狂动物城","2016/美国/喜剧动画冒险","9.1","674876人评价","迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。"
"27","天堂电影院","1988/意大利法国/剧情爱情","9.1","357228人评价","那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。"
"28","蝙蝠侠：黑暗骑士","2008/美国英国/剧情动作科幻犯罪惊悚","9.1","412528人评价","无尽的黑暗。"
"29","十二怒汉","1957/美国/剧情","9.4","207180人评价","1957年的理想主义。 "
"30","鬼子来了","2000/中国大陆/剧情历史战争","9.2","287541人评价","对敌人的仁慈，就是对自己残忍。"
"31","活着","1994/中国大陆香港/剧情历史家庭","9.1","341318人评价","张艺谋最好的电影。"
"32","少年派的奇幻漂流","2012/美国台湾英国加拿大/剧情奇幻冒险","9.0","694884人评价","瑰丽壮观、无人能及的冒险之旅。"
"33","指环王3：王者无敌","2003/美国新西兰/剧情动作奇幻冒险","9.1","343109人评价","史诗的终章。"
"34","搏击俱乐部","1999/美国德国/剧情动作悬疑惊悚","9.0","459475人评价","邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。"
"35","天空之城","1986/日本/动画奇幻冒险","9.0","400341人评价","对天空的追逐，永不停止。 "
"36","控方证人","1957/美国/剧情犯罪悬疑","9.6","134247人评价","比利·怀德满分作品。"
"37","飞屋环游记","2009/美国/剧情喜剧动画冒险","8.9","608594人评价","最后那些最无聊的事情，才是最值得怀念的。 "
"38","大话西游之月光宝盒","1995/香港中国大陆/喜剧爱情奇幻冒险","8.9","503889人评价","旷古烁今。"
"39","罗马假日","1953/美国/喜剧剧情爱情","8.9","462362人评价","爱情哪怕只有一天。"
"40","窃听风暴","2006/德国/剧情悬疑","9.1","272829人评价","别样人生。"
"41","两杆大烟枪","1998/英国/剧情喜剧犯罪","9.1","316123人评价","4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。"
"42","飞越疯人院","1975/美国/剧情","9.0","319531人评价","自由万岁。"
"43","摔跤吧！爸爸","2016/印度/剧情传记运动家庭","9.1","601331人评价","你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。"
"44","闻香识女人","1992/美国/剧情","9.0","391841人评价","史上最美的探戈。"
"45","哈尔的移动城堡","2004/日本/动画奇幻冒险","8.9","431636人评价","带着心爱的人在天空飞翔。"
"46","辩护人","2013/韩国/剧情","9.2","268830人评价","电影的现实意义大过电影本身。"
